사망자수,사상자,도,시,기타,년도
19,19,강원,강릉시,개수,2016
7,7,강원,고성군,개수,2016
9,9,강원,동해시,개수,2016
14,14,강원,삼척시,개수,2016
12,12,강원,속초시,개수,2016
5,5,강원,양구군,개수,2016
7,7,강원,양양군,개수,2016
9,9,강원,영월군,개수,2016
35,35,강원,원주시,개수,2016
7,7,강원,인제군,개수,2016
5,5,강원,정선군,개수,2016
8,8,강원,철원군,개수,2016
22,22,강원,춘천시,개수,2016
5,5,강원,태백시,개수,2016
10,10,강원,평창군,개수,2016
14,14,강원,홍천군,개수,2016
6,6,강원,화천군,개수,2016
12,12,강원,횡성군,개수,2016
15,15,경기,가평군,개수,2016
50,50,경기,고양시,개수,2016
5,5,경기,과천시,개수,2016
11,11,경기,광명시,개수,2016
42,42,경기,광주시,개수,2016
2,2,경기,구리시,개수,2016
11,11,경기,군포시,개수,2016
22,22,경기,김포시,개수,2016
34,34,경기,남양주시,개수,2016
5,5,경기,동두천시,개수,2016
30,30,경기,부천시,개수,2016
39,39,경기,성남시,개수,2016
48,48,경기,수원시,개수,2016
28,28,경기,시흥시,개수,2016
38,38,경기,안산시,개수,2016
22,22,경기,안성시,개수,2016
26,26,경기,안양시,개수,2016
15,15,경기,양주시,개수,2016
16,16,경기,양평군,개수,2016
18,18,경기,여주시,개수,2016
6,6,경기,연천군,개수,2016
12,12,경기,오산시,개수,2016
51,51,경기,용인시,개수,2016
4,4,경기,의왕시,개수,2016
17,17,경기,의정부시,개수,2016
22,22,경기,이천시,개수,2016
33,33,경기,파주시,개수,2016
50,50,경기,평택시,개수,2016
28,28,경기,포천시,개수,2016
6,6,경기,하남시,개수,2016
43,43,경기,화성시,개수,2016
26,26,경남,거제시,개수,2016
12,12,경남,거창군,개수,2016
19,19,경남,고성군,개수,2016
43,43,경남,김해시,개수,2016
10,10,경남,남해군,개수,2016
17,17,경남,밀양시,개수,2016
11,11,경남,사천시,개수,2016
6,6,경남,산청군,개수,2016
21,21,경남,양산시,개수,2016
7,7,경남,의령군,개수,2016
29,29,경남,진주시,개수,2016
23,23,경남,창녕군,개수,2016
75,75,경남,창원시(통합),개수,2016
12,12,경남,통영시,개수,2016
11,11,경남,하동군,개수,2016
18,18,경남,함안군,개수,2016
6,6,경남,함양군,개수,2016
13,13,경남,합천군,개수,2016
29,29,경북,경산시,개수,2016
57,57,경북,경주시,개수,2016
9,9,경북,고령군,개수,2016
39,39,경북,구미시,개수,2016
18,18,경북,군위군,개수,2016
23,23,경북,김천시,개수,2016
18,18,경북,문경시,개수,2016
7,7,경북,봉화군,개수,2016
26,26,경북,상주시,개수,2016
24,24,경북,성주군,개수,2016
35,35,경북,안동시,개수,2016
16,16,경북,영덕군,개수,2016
5,5,경북,영양군,개수,2016
11,11,경북,영주시,개수,2016
22,22,경북,영천시,개수,2016
19,19,경북,예천군,개수,2016
1,1,경북,울릉군,개수,2016
7,7,경북,울진군,개수,2016
21,21,경북,의성군,개수,2016
16,16,경북,청도군,개수,2016
7,7,경북,청송군,개수,2016
22,22,경북,칠곡군,개수,2016
45,45,경북,포항시,개수,2016
31,31,광주,광산구,개수,2016
10,10,광주,남구,개수,2016
8,8,광주,동구,개수,2016
18,18,광주,북구,개수,2016
18,18,광주,서구,개수,2016
11,11,대구,남구,개수,2016
22,22,대구,달서구,개수,2016
21,21,대구,달성군,개수,2016
21,21,대구,동구,개수,2016
29,29,대구,북구,개수,2016
15,15,대구,서구,개수,2016
23,23,대구,수성구,개수,2016
8,8,대구,중구,개수,2016
26,26,대전,대덕구,개수,2016
19,19,대전,동구,개수,2016
17,17,대전,서구,개수,2016
20,20,대전,유성구,개수,2016
12,12,대전,중구,개수,2016
15,15,부산,강서구,개수,2016
11,11,부산,금정구,개수,2016
9,9,부산,기장군,개수,2016
10,10,부산,남구,개수,2016
3,3,부산,동구,개수,2016
8,8,부산,동래구,개수,2016
13,13,부산,북구,개수,2016
13,13,부산,사상구,개수,2016
17,17,부산,사하구,개수,2016
4,4,부산,서구,개수,2016
7,7,부산,수영구,개수,2016
7,7,부산,연제구,개수,2016
5,5,부산,영도구,개수,2016
5,5,부산,중구,개수,2016
16,16,부산,진구,개수,2016
10,10,부산,해운대구,개수,2016
12,12,서울,강남구,개수,2016
17,17,서울,강동구,개수,2016
15,15,서울,강북구,개수,2016
13,13,서울,강서구,개수,2016
18,18,서울,관악구,개수,2016
9,9,서울,광진구,개수,2016
9,9,서울,구로구,개수,2016
15,15,서울,금천구,개수,2016
13,13,서울,노원구,개수,2016
11,11,서울,도봉구,개수,2016
14,14,서울,동대문구,개수,2016
17,17,서울,동작구,개수,2016
15,15,서울,마포구,개수,2016
14,14,서울,서대문구,개수,2016
16,16,서울,서초구,개수,2016
15,15,서울,성동구,개수,2016
12,12,서울,성북구,개수,2016
14,14,서울,송파구,개수,2016
12,12,서울,양천구,개수,2016
21,21,서울,영등포구,개수,2016
12,12,서울,용산구,개수,2016
14,14,서울,은평구,개수,2016
9,9,서울,종로구,개수,2016
16,16,서울,중구,개수,2016
9,9,서울,중랑구,개수,2016
25,25,세종,세종,개수,2016
23,23,울산,남구,개수,2016
2,2,울산,동구,개수,2016
9,9,울산,북구,개수,2016
23,23,울산,울주군,개수,2016
13,13,울산,중구,개수,2016
14,14,인천,강화군,개수,2016
9,9,인천,계양구,개수,2016
22,22,인천,남구,개수,2016
25,25,인천,남동구,개수,2016
5,5,인천,동구,개수,2016
11,11,인천,부평구,개수,2016
24,24,인천,서구,개수,2016
16,16,인천,연수구,개수,2016
7,7,인천,옹진군,개수,2016
4,4,인천,중구,개수,2016
9,9,전남,강진군,개수,2016
18,18,전남,고흥군,개수,2016
6,6,전남,곡성군,개수,2016
16,16,전남,광양시,개수,2016
6,6,전남,구례군,개수,2016
17,17,전남,나주시,개수,2016
16,16,전남,담양군,개수,2016
17,17,전남,목포시,개수,2016
15,15,전남,무안군,개수,2016
13,13,전남,보성군,개수,2016
33,33,전남,순천시,개수,2016
10,10,전남,신안군,개수,2016
29,29,전남,여수시,개수,2016
12,12,전남,영광군,개수,2016
22,22,전남,영암군,개수,2016
12,12,전남,완도군,개수,2016
12,12,전남,장성군,개수,2016
12,12,전남,장흥군,개수,2016
6,6,전남,진도군,개수,2016
13,13,전남,함평군,개수,2016
24,24,전남,해남군,개수,2016
9,9,전남,화순군,개수,2016
18,18,전북,고창군,개수,2016
27,27,전북,군산시,개수,2016
24,24,전북,김제시,개수,2016
23,23,전북,남원시,개수,2016
4,4,전북,무주군,개수,2016
17,17,전북,부안군,개수,2016
13,13,전북,순창군,개수,2016
27,27,전북,완주군,개수,2016
35,35,전북,익산시,개수,2016
8,8,전북,임실군,개수,2016
5,5,전북,장수군,개수,2016
50,50,전북,전주시,개수,2016
22,22,전북,정읍시,개수,2016
2,2,전북,진안군,개수,2016
34,34,제주,서귀포시,개수,2016
43,43,제주,제주시,개수,2016
26,26,충남,공주시,개수,2016
13,13,충남,금산군,개수,2016
34,34,충남,논산시,개수,2016
29,29,충남,당진시,개수,2016
21,21,충남,보령시,개수,2016
27,27,충남,부여군,개수,2016
29,29,충남,서산시,개수,2016
19,19,충남,서천군,개수,2016
35,35,충남,아산시,개수,2016
24,24,충남,예산군,개수,2016
58,58,충남,천안시,개수,2016
15,15,충남,청양군,개수,2016
23,23,충남,태안군,개수,2016
19,19,충남,홍성군,개수,2016
15,15,충북,괴산군,개수,2016
8,8,충북,단양군,개수,2016
8,8,충북,보은군,개수,2016
12,12,충북,영동군,개수,2016
8,8,충북,옥천군,개수,2016
23,23,충북,음성군,개수,2016
20,20,충북,제천시,개수,2016
1,1,충북,증평군,개수,2016
12,12,충북,진천군,개수,2016
74,74,충북,청주시,개수,2016
40,40,충북,충주시,개수,2016
