연도,징수시도,징수시군구,징수분류,징수금액
2014,서울,서울시,취득세,-132226
2014,서울,종로구,취득세,136485571
2014,서울,중구,취득세,158931770
2014,서울,용산구,취득세,157076176
2014,서울,성동구,취득세,103622457
2014,서울,광진구,취득세,68640336
2014,서울,동대문구,취득세,84421553
2014,서울,중랑구,취득세,74990360
2014,서울,성북구,취득세,76534104
2014,서울,강북구,취득세,43032806
2014,서울,도봉구,취득세,43163676
2014,서울,노원구,취득세,72664849
2014,서울,은평구,취득세,82905622
2014,서울,서대문구,취득세,69971723
2014,서울,마포구,취득세,162181857
2014,서울,양천구,취득세,92502216
2014,서울,강서구,취득세,195393552
2014,서울,구로구,취득세,111072286
2014,서울,금천구,취득세,91912541
2014,서울,영등포구,취득세,145985026
2014,서울,동작구,취득세,79314600
2014,서울,관악구,취득세,80527336
2014,서울,서초구,취득세,320670141
2014,서울,강남구,취득세,477502506
2014,서울,송파구,취득세,285141772
2014,서울,강동구,취득세,96660228
2014,서울,서울시,주민세,-501528
2014,서울,종로구,주민세,24612116
2014,서울,중구,주민세,55845537
2014,서울,용산구,주민세,10336654
2014,서울,성동구,주민세,8101560
2014,서울,광진구,주민세,4440229
2014,서울,동대문구,주민세,5545824
2014,서울,중랑구,주민세,3135123
2014,서울,성북구,주민세,3394055
2014,서울,강북구,주민세,2045348
2014,서울,도봉구,주민세,2491003
2014,서울,노원구,주민세,4280938
2014,서울,은평구,주민세,2940070
2014,서울,서대문구,주민세,4604514
2014,서울,마포구,주민세,16414108
2014,서울,양천구,주민세,5245226
2014,서울,강서구,주민세,11187667
2014,서울,구로구,주민세,10904682
2014,서울,금천구,주민세,14882805
2014,서울,영등포구,주민세,44393952
2014,서울,동작구,주민세,5738144
2014,서울,관악구,주민세,4450684
2014,서울,서초구,주민세,39325436
2014,서울,강남구,주민세,65477246
2014,서울,송파구,주민세,18580664
2014,서울,강동구,주민세,6857084
2014,서울,서울시,지방소득세,-10329447
2014,서울,종로구,지방소득세,284681928
2014,서울,중구,지방소득세,533494222
2014,서울,용산구,지방소득세,133821856
2014,서울,성동구,지방소득세,67483504
2014,서울,광진구,지방소득세,42366670
2014,서울,동대문구,지방소득세,41042195
2014,서울,중랑구,지방소득세,15909566
2014,서울,성북구,지방소득세,45614370
2014,서울,강북구,지방소득세,15264995
2014,서울,도봉구,지방소득세,15437852
2014,서울,노원구,지방소득세,29113289
2014,서울,은평구,지방소득세,21501744
2014,서울,서대문구,지방소득세,48838615
2014,서울,마포구,지방소득세,112648461
2014,서울,양천구,지방소득세,61619296
2014,서울,강서구,지방소득세,58157314
2014,서울,구로구,지방소득세,62244674
2014,서울,금천구,지방소득세,65852347
2014,서울,영등포구,지방소득세,330369798
2014,서울,동작구,지방소득세,42825172
2014,서울,관악구,지방소득세,29192346
2014,서울,서초구,지방소득세,369818521
2014,서울,강남구,지방소득세,722517170
2014,서울,송파구,지방소득세,138820794
2014,서울,강동구,지방소득세,46343876
2015,서울,서울시,취득세,-99748
2015,서울,종로구,취득세,139527609
2015,서울,중구,취득세,151295303
2015,서울,용산구,취득세,171252565
2015,서울,성동구,취득세,132351627
2015,서울,광진구,취득세,116440982
2015,서울,동대문구,취득세,104972233
2015,서울,중랑구,취득세,88957034
2015,서울,성북구,취득세,108372561
2015,서울,강북구,취득세,60593007
2015,서울,도봉구,취득세,62971779
2015,서울,노원구,취득세,87574930
2015,서울,은평구,취득세,131596675
2015,서울,서대문구,취득세,96834631
2015,서울,마포구,취득세,214926192
2015,서울,양천구,취득세,124493533
2015,서울,강서구,취득세,236475106
2015,서울,구로구,취득세,119761206
2015,서울,금천구,취득세,87652217
2015,서울,영등포구,취득세,208874128
2015,서울,동작구,취득세,118416938
2015,서울,관악구,취득세,114145328
2015,서울,서초구,취득세,364924514
2015,서울,강남구,취득세,1040532101
2015,서울,송파구,취득세,298169305
2015,서울,강동구,취득세,146583095
2015,서울,서울시,주민세,-216149
2015,서울,종로구,주민세,27065575
2015,서울,중구,주민세,38828202
2015,서울,용산구,주민세,11295128
2015,서울,성동구,주민세,8906564
2015,서울,광진구,주민세,4945596
2015,서울,동대문구,주민세,6278316
2015,서울,중랑구,주민세,3488120
2015,서울,성북구,주민세,4037896
2015,서울,강북구,주민세,2133901
2015,서울,도봉구,주민세,2588868
2015,서울,노원구,주민세,4649241
2015,서울,은평구,주민세,3042248
2015,서울,서대문구,주민세,6773699
2015,서울,마포구,주민세,17474473
2015,서울,양천구,주민세,5493324
2015,서울,강서구,주민세,12892522
2015,서울,구로구,주민세,11572332
2015,서울,금천구,주민세,15631859
2015,서울,영등포구,주민세,47242101
2015,서울,동작구,주민세,6375490
2015,서울,관악구,주민세,4514333
2015,서울,서초구,주민세,38305901
2015,서울,강남구,주민세,69522062
2015,서울,송파구,주민세,20217529
2015,서울,강동구,주민세,7843666
2015,서울,서울시,지방소득세,-738556
2015,서울,종로구,지방소득세,361648365
2015,서울,중구,지방소득세,767812824
2015,서울,용산구,지방소득세,153876207
2015,서울,성동구,지방소득세,72595053
2015,서울,광진구,지방소득세,51291631
2015,서울,동대문구,지방소득세,42992010
2015,서울,중랑구,지방소득세,20388384
2015,서울,성북구,지방소득세,48072838
2015,서울,강북구,지방소득세,17311977
2015,서울,도봉구,지방소득세,18942872
2015,서울,노원구,지방소득세,31854570
2015,서울,은평구,지방소득세,25614589
2015,서울,서대문구,지방소득세,54535619
2015,서울,마포구,지방소득세,133956880
2015,서울,양천구,지방소득세,62223706
2015,서울,강서구,지방소득세,67305989
2015,서울,구로구,지방소득세,72765533
2015,서울,금천구,지방소득세,85551940
2015,서울,영등포구,지방소득세,477442553
2015,서울,동작구,지방소득세,50333366
2015,서울,관악구,지방소득세,35264649
2015,서울,서초구,지방소득세,454135338
2015,서울,강남구,지방소득세,922399414
2015,서울,송파구,지방소득세,175479220
2015,서울,강동구,지방소득세,56803770
2016,서울,서울시,취득세,-169104
2016,서울,종로구,취득세,137454177
2016,서울,중구,취득세,243276878
2016,서울,용산구,취득세,213768204
2016,서울,성동구,취득세,149712020
2016,서울,광진구,취득세,109880977
2016,서울,동대문구,취득세,106217956
2016,서울,중랑구,취득세,107842682
2016,서울,성북구,취득세,116206135
2016,서울,강북구,취득세,62028371
2016,서울,도봉구,취득세,62120725
2016,서울,노원구,취득세,111767324
2016,서울,은평구,취득세,124270290
2016,서울,서대문구,취득세,128632153
2016,서울,마포구,취득세,224109750
2016,서울,양천구,취득세,155999115
2016,서울,강서구,취득세,243793070
2016,서울,구로구,취득세,132914223
2016,서울,금천구,취득세,106480930
2016,서울,영등포구,취득세,233501786
2016,서울,동작구,취득세,143898983
2016,서울,관악구,취득세,124190720
2016,서울,서초구,취득세,483241571
2016,서울,강남구,취득세,712796573
2016,서울,송파구,취득세,483255457
2016,서울,강동구,취득세,174918123
2016,서울,서울시,주민세,-421510
2016,서울,종로구,주민세,38152070
2016,서울,중구,주민세,63472739
2016,서울,용산구,주민세,12964421
2016,서울,성동구,주민세,10787781
2016,서울,광진구,주민세,5514286
2016,서울,동대문구,주민세,7021536
2016,서울,중랑구,주민세,3929389
2016,서울,성북구,주민세,4398766
2016,서울,강북구,주민세,2301947
2016,서울,도봉구,주민세,2768304
2016,서울,노원구,주민세,5034407
2016,서울,은평구,주민세,3467774
2016,서울,서대문구,주민세,7713280
2016,서울,마포구,주민세,19665271
2016,서울,양천구,주민세,6119666
2016,서울,강서구,주민세,14485136
2016,서울,구로구,주민세,13539131
2016,서울,금천구,주민세,17216179
2016,서울,영등포구,주민세,53459317
2016,서울,동작구,주민세,6765472
2016,서울,관악구,주민세,4925506
2016,서울,서초구,주민세,45432891
2016,서울,강남구,주민세,84668626
2016,서울,송파구,주민세,23798808
2016,서울,강동구,주민세,8349214
2016,서울,서울시,지방소득세,-1034192
2016,서울,종로구,지방소득세,331868615
2016,서울,중구,지방소득세,657635025
2016,서울,용산구,지방소득세,159735278
2016,서울,성동구,지방소득세,77236444
2016,서울,광진구,지방소득세,57416028
2016,서울,동대문구,지방소득세,45926632
2016,서울,중랑구,지방소득세,23997445
2016,서울,성북구,지방소득세,55482652
2016,서울,강북구,지방소득세,17453426
2016,서울,도봉구,지방소득세,21536052
2016,서울,노원구,지방소득세,47499856
2016,서울,은평구,지방소득세,29872269
2016,서울,서대문구,지방소득세,58661765
2016,서울,마포구,지방소득세,140513357
2016,서울,양천구,지방소득세,72745178
2016,서울,강서구,지방소득세,80577356
2016,서울,구로구,지방소득세,81288614
2016,서울,금천구,지방소득세,87725985
2016,서울,영등포구,지방소득세,403977690
2016,서울,동작구,지방소득세,56175658
2016,서울,관악구,지방소득세,39673508
2016,서울,서초구,지방소득세,483580206
2016,서울,강남구,지방소득세,913990240
2016,서울,송파구,지방소득세,190912392
2016,서울,강동구,지방소득세,57646255
